变体文件,硬件木马说明,木马程序分类
AES-T1800,"在诸如医用植入设备等轻型应用中，为其供电的电池是核心部件，设备的成功运行在很大程度上依赖于这些电池。
此木马程序一旦被激活，便会耗尽电池电量。该木马程序在检测到预定义的输入明文后被激活。
其有效载荷是一个移位寄存器，在木马程序激活后会持续循环运转。木马程序会增加功耗，从而缩短电池的预期使用寿命。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部条件触发
影响：信息泄露（缩短电池寿命）
位置：处理器
物理特性：功能性"
AES-T1900,"在诸如医用植入设备等轻型应用中，为其供电的电池是核心部件，设备的成功运行在很大程度上依赖于这些电池。
该木马程序一旦被激活，便会耗尽电池电量。在完成128个十六进制值“FFFF_FFFF_FFFF_FFFF_FFFF_FFFF_FFFF_FFFF”的加密操作后，木马程序将被激活。
其有效载荷是一个移位寄存器，在木马程序激活后会持续循环运转。木马程序会增加功耗，从而缩短电池的预期使用寿命。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部条件触发
影响：拒绝服务（通过耗尽电池电量使设备无法正常工作，属于拒绝服务攻击的一种形式 ）
位置：处理器
物理特性：功能性"
AES-T2000,"在检测到特定的输入明文序列后，该木马程序通过泄漏电流泄露AES-128的密钥。
泄漏电路（LC）由一个存储密钥的移位寄存器和两个反相器组成。移位寄存器的最低有效位连接到其中一个反相器，该反相器的输出又连接到另一个反相器的输入。
每当最低有效位为“0”时，由第一个反相器的PMOS晶体管和第二个反相器的NMOS晶体管构成的电源与地之间的直接通路会在有限时间内导通。
因此，通过测量泄漏电流即可获取密钥。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部条件触发
影响：信息泄露
位置：处理器
物理特性：功能性"
AES-T2100,"在完成特定次数的加密操作后，该木马程序会通过泄漏电流泄露AES-128的密钥。
泄漏电路（LC）由一个存储密钥的移位寄存器和两个反相器构成。移位寄存器的最低有效位连接至其中一个反相器，该反相器的输出再连接至另一个反相器的输入。
每当最低有效位为“0”时，由第一个反相器的PMOS晶体管和第二个反相器的NMOS晶体管组成的电源与地之间的直接通路会在有限时间内导通。
因此，通过测量泄漏电流即可获取密钥。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部条件触发
影响：信息泄露
位置：处理器
物理特性：功能性"
AES-T2300,"在AES-128分组密码中，当两个预定义的罕见信号（aes_128模块的s2[89]和s5[121]）同时为高电平时，该木马程序即被触发。
一旦激活，木马程序会通过翻转现有加密输出结果的最低有效位来对加密过程发起攻击。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：基于物理条件触发
影响：改变功能
物理特性：功能性"
AES-T2400,"在AES-128分组密码中，只要两个预定义信号（一个为罕见信号：aes_128模块的s2[89]；一个为非罕见信号：aes_128模块的s7[127]）同时处于高电平状态，该木马程序就会被触发。
一旦激活，木马程序会通过翻转现有加密输出结果的最低有效位来对加密过程实施攻击。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：基于物理条件触发
影响：改变功能
物理特性：功能性"
AES-T2500,"该木马程序的触发器是一个嵌入在AES-128分组密码中的4位同步计数器。每次连续完成一次加密操作后，计数器数值增加1；当计数器的第4位为高电平时，木马程序被激活。
一旦触发，木马程序会通过翻转现有加密输出结果的最低有效位来对加密过程发起攻击。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：基于时间触发
影响：改变功能
物理特性：功能性"
AES-T2600,"该木马程序的触发器是一个嵌入在AES-128分组密码中的4位异步计数器。
若aes_128模块内预定义信号s3[122]的值为1，则每次连续完成一次加密操作后，计数器数值增加1。当计数器的第4位为高电平时，木马程序被激活。
一旦触发，木马程序会通过翻转现有加密输出结果的最低有效位来破坏加密过程。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：基于物理条件与时间双重触发
影响：改变功能
物理特性：功能性"
AES-T2700,"该木马程序的触发机制依赖于一个4位异步计数器，而该异步计数器又受制于一个4位同步计数器（两者均嵌入在AES-128分组密码中）。
每次连续完成一次加密操作后，同步计数器数值增加1。只有当同步计数器的第4位为高电平时，异步计数器才会随之递增。
当异步计数器的第4位为高电平时，木马程序被激活。
一旦触发，木马程序会通过翻转现有加密输出结果的最低有效位来破坏加密过程。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：基于物理条件与时间双重触发
影响：改变功能
物理特性：功能性"
AES-T2800,"该木马程序的触发机制依赖于一个4位异步计数器，而该异步计数器又受一个4位同步计数器控制（两者均嵌入在AES-128分组密码中）。
每次连续完成一次加密后，同步计数器数值增加1。
仅当满足以下条件时，异步计数器才会递增：
1、同步计数器的第4位为高电平；
2、aes_128模块内的两个预定义信号（s5[113]和s7[127]）均处于激活状态。
当异步计数器的第4位为高电平时，木马程序被激活。一旦触发，木马程序会通过翻转现有加密输出结果的最低有效位来破坏加密过程。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：基于物理条件与时间双重触发
影响：改变功能
物理特性：功能性"
